DATE,POP,PSAVERT,UNEMPLOY
1959-01-01,176447,11.3,4068
1959-02-01,176685,10.6,3965
1959-03-01,176905,10.3,3801
1959-04-01,177146,11.2,3571
1959-05-01,177365,10.6,3479
1959-06-01,177591,10.5,3429
1959-07-01,177830,10.7,3528
1959-08-01,178101,9.6,3588
1959-09-01,178376,8.7,3775
1959-10-01,178657,9.4,3910
1959-11-01,178921,10.1,4003
1959-12-01,179153,11,3653
1960-01-01,179386,10.9,3615
1960-02-01,179597,10.6,3329
1960-03-01,179788,9.4,3726
1960-04-01,180007,8.4,3620
1960-05-01,180222,10.4,3569
1960-06-01,180444,10.4,3766
1960-07-01,180671,10.4,3836
1960-08-01,180945,10.3,3946
1960-09-01,181238,10,3884
1960-10-01,181528,9.8,4252
1960-11-01,181796,9.8,4330
1960-12-01,182042,10.4,4617
1961-01-01,182287,11.1,4671
1961-02-01,182520,11.1,4832
1961-03-01,182742,10.4,4853
1961-04-01,182992,10.6,4893
1961-05-01,183217,10.8,5003
1961-06-01,183452,11.5,4885
1961-07-01,183691,12,4928
1961-08-01,183958,11.7,4682
1961-09-01,184243,11.3,4676
1961-10-01,184524,11.7,4573
1961-11-01,184783,11.6,4295
1961-12-01,185016,11.6,4177
1962-01-01,185242,11.3,4081
1962-02-01,185452,11.8,3871
1962-03-01,185650,11.6,3921
1962-04-01,185874,11.7,3906
1962-05-01,186087,11.1,3863
1962-06-01,186314,11.5,3844
1962-07-01,186538,11.6,3819
1962-08-01,186790,11.4,4013
1962-09-01,187058,10.4,3961
1962-10-01,187323,11.3,3803
1962-11-01,187574,10.4,4024
1962-12-01,187796,10.3,3907
1963-01-01,188013,10.9,4074
1963-02-01,188213,10.7,4238
1963-03-01,188387,10.6,4072
1963-04-01,188580,10.7,4055
1963-05-01,188790,10.9,4217
1963-06-01,189018,10.5,3977
1963-07-01,189242,10.1,4051
1963-08-01,189496,10.2,3878
1963-09-01,189761,11,3957
1963-10-01,190028,11.5,3987
1963-11-01,190265,11,4151
1963-12-01,190472,10.7,3975
1964-01-01,190668,10.7,4029
1964-02-01,190858,10.4,3932
1964-03-01,191047,12.1,3950
1964-04-01,191245,12.4,3918
1964-05-01,191447,11.7,3764
1964-06-01,191666,11.5,3814
1964-07-01,191889,11.2,3608
1964-08-01,192131,11.1,3655
1964-09-01,192376,11.8,3712
1964-10-01,192631,11.2,3726
1964-11-01,192847,12.5,3551
1964-12-01,193039,12.5,3651
1965-01-01,193223,12.1,3572
1965-02-01,193393,10.7,3730
